// Note : ลฐ(ID)ฟอ ณปฟ๋ภบ นตๅฝร ลวภธทฮ ฑธบะตวพ๎พ฿ วีดฯดู.
//
IN_000_000	Sword
ID_384_064	
IN_068_096	ถุงมือเสือขาวเวทย์  (พิษรุนแรง)
ID_384_173	
IN_068_097	temp
ID_384_174	
IN_068_098	ถุงมือกวางเวทย์(ธาตุหิน)
ID_384_175	
IN_068_099	ถุงมือกวางเวทย์  (ธาตุหินรุนแรง)
ID_384_176	
IN_068_100	ถุงมือกังฟูเวทย์(ธาตุหิน)
ID_384_177	
IN_068_101	ถุงมือกังฟูเวทย์(ธาตุหินรุนแรง)
ID_384_178	
IN_068_102	ถุงมือเสือขาวเวทย์(ธาตุหิน)
ID_384_179	
IN_068_103	ถุงมือเสือขาวเวทย์(ธาตุหินรุนแรง)
ID_384_180	
IN_069_000	RareItem (QiJian)
ID_384_181	
IN_069_001	The Light Japanese Sword (มีการเปลี่ยนแปลง)
ID_384_182	
IN_069_002	Light Japanese Sword (ธาตุไฟ)
ID_384_183	
IN_069_003	The Light Jasper Sword (มีการเปลี่ยนแปลง)
ID_384_184	
IN_069_004	Light Jasper Sword (ธาตุไฟ)
ID_384_185	
IN_069_005	Light Jasper Sword (ธาตุไฟฟ้า)
ID_384_186	
IN_069_006	The Light Bamboo Leaves Sword (มีการเปลี่ยนแปลง)
ID_384_187	
IN_069_007	Light Bamboo Leaves Sword (ธาตุไฟ)
ID_384_188	
IN_069_008	Light Bamboo Leaves Sword (ธาตุไฟฟ้า)
ID_384_189	
IN_069_009	Light Bamboo Leaves Sword (ธาตุน้ำแข็ง)
ID_384_190	
IN_069_010	The Light Fine Steel Sword (มีการเปลี่ยนแปลง)
ID_384_247	
IN_069_011	Light Fine Steel Sword (ธาตุไฟ)
ID_384_248	
IN_069_012	Light Fine Steel Sword (ธาตุไฟฟ้า)
ID_384_249	
IN_069_013	Light Fine Steel Sword (ธาตุน้ำแข็ง)
ID_384_250	
IN_069_014	The Light Warrior Long Sword (มีการเปลี่ยนแปลง)
ID_384_251	
IN_069_015	Light Warrior Long Sword (ธาตุไฟ)
ID_384_252	
IN_069_016	Light Warrior Long Sword (ธาตุไฟฟ้า)
ID_384_253	
IN_069_017	Light Warrior Long Sword (ธาตุน้ำแข็ง)
ID_384_254	
IN_069_018	The Light Damascus Long Sword (มีการเปลี่ยนแปลง)
ID_384_366	
IN_069_019	Light Damascus Long Sword (ธาตุไฟ)
ID_384_367	
IN_069_020	Light Damascus Long Sword (ธาตุไฟฟ้า)
ID_384_368	
IN_069_021	Light Damascus Long Sword (ธาตุน้ำแข็ง)
ID_384_369	
IN_069_022	The Light Sharp-Edge Sword (มีการเปลี่ยนแปลง)
ID_384_370	
IN_069_023	Light Sharp-Edge Sword (ธาตุไฟ)
ID_384_371	
IN_069_024	Light Sharp-Edge Sword (ธาตุไฟฟ้า)
ID_384_372	
IN_069_025	Light Sharp-Edge Sword (ธาตุน้ำแข็ง)
ID_384_373	
IN_069_026	The Light Double-Edged Sword (มีการเปลี่ยนแปลง)
ID_384_374	
IN_069_027	Light Double-Edged Sword (ธาตุไฟ)
ID_384_375	
IN_069_028	Light Double-Edged Sword (ธาตุไฟฟ้า)
ID_384_376	
IN_069_029	Light Double-Edged Sword (ธาตุน้ำแข็ง)
ID_384_377	
IN_069_030	Light Double-Edged Sword (ธาตุพิษ)
ID_384_378	
IN_069_031	Light Double-Edged Sword (ธาตุไฟรุนแรง)
ID_384_379	
IN_069_032	Light Double-Edged Sword (ธาตุไฟฟ้ารุนแรง)
ID_384_380	
IN_069_033	Light Double-Edged Sword (ธาตุน้ำแข็งรุนแรง)
ID_384_381	
IN_069_034	Light Double-Edged Sword (ธาตุพิษรุนแรง)
ID_384_382	
IN_069_035	The Light Machinery Wide Sword (มีการเปลี่ยนแปลง)
ID_384_383	
IN_069_036	Light Machinery Wide Sword (ธาตุไฟ)
ID_384_440	
IN_069_037	Light Machinery Wide Sword (ธาตุไฟฟ้า)
ID_384_441	
IN_069_038	Light Machinery Wide Sword (ธาตุน้ำแข็ง)
ID_384_442	
IN_069_039	Light Machinery Wide Sword (ธาตุพิษ)
ID_384_443	
IN_069_040	Light Machinery Wide Sword (ธาตุไฟรุนแรง)
ID_384_444	
IN_069_041	Light Machinery Wide Sword (ธาตุไฟฟ้ารุนแรง)
ID_384_445	
IN_069_042	Light Machinery Wide Sword (ธาตุน้ำแข็งรุนแรง)
ID_384_446	
IN_069_043	Light Machinery Wide Sword (ธาตุพิษรุนแรง)
ID_384_447	
IN_069_044	The Light Hard Extravagant Sword (มีการเปลี่ยนแปลง)
ID_384_504	
IN_069_045	Light Hard Extravagant Sword (ธาตุไฟ)
ID_384_505	
IN_069_046	Light Hard Extravagant Sword (ธาตุไฟฟ้า)
ID_384_506	
IN_069_047	Light Hard Extravagant Sword (ธาตุน้ำแข็ง)
ID_384_507	
IN_069_048	Light Hard Extravagant Sword (ธาตุพิษ)
ID_384_508	
IN_069_049	Light Hard Extravagant Sword (ธาตุไฟรุนแรง)
ID_384_509	
IN_069_050	Light Hard Extravagant Sword (ธาตุไฟฟ้ารุนแรง)
ID_384_510	
IN_069_051	Light Hard Extravagant Sword (ธาตุน้ำแข็งรุนแรง)
ID_384_511	
IN_069_052	Light Hard Extravagant Sword (ธาตุพิษรุนแรง)
ID_384_512	
IN_069_053	The Light Lava Extra Vagant Sword (มีการเปลี่ยนแปลง)
ID_384_621	
IN_069_054	Light Lava Extra Vagant Sword (ธาตุไฟ)
ID_384_622	
IN_069_055	Light Lava Extra Vagant Sword (ธาตุไฟฟ้า)
ID_384_623	
IN_069_056	Light Lava Extra Vagant Sword (ธาตุน้ำแข็ง)
ID_384_624	
IN_069_057	Light Lava Extra Vagant Sword (ธาตุพิษ)
ID_384_625	
IN_069_058	Light Lava Extra Vagant Sword (ธาตุไฟรุนแรง)
ID_384_626	
IN_069_059	Light Lava Extra Vagant Sword (ธาตุไฟฟ้ารุนแรง)
ID_384_627	
IN_069_060	Light Lava Extra Vagant Sword (ธาตุน้ำแข็งรุนแรง)
ID_384_628	
IN_069_061	Light Lava Extra Vagant Sword (ธาตุพิษรุนแรง)
ID_384_629	
IN_069_062	ดาบมังกรขาวเวทย์  (updated)
ID_384_630	
IN_069_063	ดาบมังกรขาวเวทย์  (ไฟ)
ID_384_631	
IN_069_064	ดาบมังกรขาวเวทย์  (ไฟฟ้า)
ID_384_632	
IN_069_065	ดาบมังกรขาวเวทย์  (น้ำแข็ง)
ID_384_633	
IN_069_066	ดาบมังกรขาวเวทย์  (พิษ)
ID_384_634	
IN_069_067	ดาบมังกรขาวเวทย์  (ไฟรุนแรง)
ID_384_635	
IN_069_068	ดาบมังกรขาวเวทย์  (ไฟฟ้ารุนแรง)
ID_384_636	
IN_069_069	ดาบมังกรขาวเวทย์  (น้ำแข็งรุนแรง)
ID_384_637	
IN_069_070	ดาบมังกรขาวเวทย์ (พิษรุนแรง)
ID_384_638	
IN_069_071	ดาบฟ้าเวทย์ (updated)
ID_402_469	
IN_069_072	ดาบฟ้าเวทย์ (ไฟ)
ID_402_481	
IN_069_073	ดาบฟ้าเวทย์ (ไฟฟ้า)
ID_420_094	
IN_069_074	ดาบฟ้าเวทย์ (น้ำแข็ง)
ID_420_095	
IN_069_075	ดาบฟ้าเวทย์ (พิษ)
ID_420_102	
IN_069_076	ดาบฟ้าเวทย์ (ไฟรุนแรง)
ID_420_103	
IN_069_077	ดาบฟ้าเวทย์ (ไฟฟ้ารุนแรง)
ID_420_104	
IN_069_078	ดาบฟ้าเวทย์ (น้ำแข็งรุนแรง)
ID_420_105	
IN_069_079	ดาบฟ้าเวทย์ (พิษรุนแรง)
ID_450_000	
IN_069_080	ดาบไร้ฟ้าเวทย์ (updated)
ID_450_001	
IN_069_081	ดาบไร้ฟ้าเวทย์ (ไฟ)
ID_450_002	
IN_069_082	ดาบไร้ฟ้าเวทย์ (ไฟฟ้า)
ID_450_003	
IN_069_083	ดาบไร้ฟ้าเวทย์ (น้ำแข็ง)
ID_450_004	
IN_069_084	ดาบไร้ฟ้าเวทย์ (พิษ)
ID_450_005	
IN_069_085	ดาบไร้ฟ้าเวทย์ (ไฟรุนแรง)
ID_450_006	
IN_069_086	ดาบไร้ฟ้าเวทย์ (ไฟฟ้ารุนแรง)
ID_450_007	
IN_069_087	ดาบไร้ฟ้าเวทย์ (น้ำแข็งรุนแรง)
ID_450_008	
IN_069_088	ดาบไร้ฟ้าเวทย์ (พิษรุนแรง)
ID_450_009	
IN_069_089	ดาบเทพเวทย์ (updated)
ID_450_010	
IN_069_090	ดาบเทพเวทย์ (ไฟ)
ID_450_011	
IN_069_091	ดาบเทพเวทย์ (ไฟฟ้า)
ID_450_012	
IN_069_092	ดาบเทพเวทย์ (น้ำแข็ง)
ID_701_438	
IN_069_093	ดาบเทพเวทย์ (พิษ)
ID_702_124	
IN_069_094	ดาบเทพเวทย์ (ไฟรุนแรง)
ID_702_130	
IN_069_095	ดาบเทพเวทย์ (ไฟฟ้ารุนแรง)
strName	strName
IN_069_096	ดาบเทพเวทย์ (น้ำแข็งรุนแรง)
IN_069_097	ดาบเทพเวทย์ (พิษรุนแรง)
IN_069_098	temp
IN_069_099	ดาบฟ้าเวทย์(ธาตุหิน)
IN_069_100	ดาบฟ้าเวทย์(ธาตุหินรุนแรง)
IN_069_101	ดาบไร้ฟ้าเวทย์(ธาตุหิน)
IN_069_102	ดาบไร้ฟ้าเวทย์(ธาตุหินรุนแรง)
IN_069_103	ดาบเทพเวทย์(ธาตุหิน)
IN_069_104	ดาบเทพเวทย์(ธาตุหินรุนแรง)
IN_070_000	ของหายาก (Mad Bow)
IN_070_001	The Light Mixed Gold Bow (มีการเปลี่ยนแปลง)
IN_070_002	The Light Mixed Gold Bow (ธาตุไฟ)
IN_070_003	Giant Light Mixed Gold Bow (มีการเปลี่ยนแปลง)
IN_070_004	Giant Light Mixed Gold Bow (ธาตุไฟ)
IN_070_005	Giant Light Mixed Gold Bow (ธาตุไฟฟ้า)
IN_070_006	Competition Bow (มีการเปลี่ยนแปลง)
IN_070_007	Competition Bow (ธาตุไฟ)
IN_070_008	Competition Bow (ธาตุไฟฟ้า)
IN_070_009	Competition Bow (ธาตุน้ำแข็ง)
IN_070_010	Competition Bow (ธาตุไฟรุนแรง)
IN_070_011	Competition Bow (ธาตุไฟฟ้ารุนแรง)
IN_070_012	Competition Bow (ธาตุน้ำแข็งรุนแรง)
IN_070_013	The Hunter Light Mixed Gold Bow (มีการเปลี่ยนแปลง)
IN_070_014	Hunter Light Mixed Gold Bow (ธาตุไฟ)
IN_070_015	Hunter Light Mixed Gold Bow (ธาตุไฟฟ้า)
IN_070_016	Hunter Light Mixed Gold Bow (ธาตุน้ำแข็ง)
IN_070_017	Hunter Light Mixed Gold Bow (ธาตุไฟรุนแรง)
IN_070_018	Hunter Light Mixed Gold Bow (ธาตุไฟฟ้ารุนแรง)
IN_070_019	Hunter Light Mixed Gold Bow (ธาตุน้ำแข็งรุนแรง)
IN_070_020	Hunter Light Mixed Gold Bow (Really)
IN_070_021	The Light Long Bow (มีการเปลี่ยนแปลง)
IN_070_022	Light Long Bow (ธาตุไฟ)
IN_070_023	Light Long Bow (ธาตุไฟฟ้า)
IN_070_024	Light Long Bow (ธาตุน้ำแข็ง)
IN_070_025	Light Long Bow (ธาตุพิษ)
IN_070_026	Light Long Bow (ธาตุไฟรุนแรง)
IN_070_027	Light Long Bow (ธาตุไฟฟ้ารุนแรง)
IN_070_028	Light Long Bow (ธาตุน้ำแข็งรุนแรง)
IN_070_029	Light Long Bow (ธาตุพิษรุนแรง)
IN_070_030	The Robust Long Bow (มีการเปลี่ยนแปลง)
IN_070_031	Robust Long Bow (ธาตุไฟ)
IN_070_032	Robust Long Bow (ธาตุไฟฟ้า)
IN_070_033	Robust Long Bow (ธาตุน้ำแข็ง)
IN_070_034	Robust Long Bow (ธาตุพิษ)
IN_070_035	The Fusion Light Wooden Long Bow (มีการเปลี่ยนแปลง)
IN_070_036	Fusion Light Wooden Long Bow (ธาตุไฟ)
IN_070_037	Fusion Light Wooden Long Bow (ธาตุไฟฟ้า)
IN_070_038	Fusion Light Wooden Long Bow (ธาตุน้ำแข็ง)
IN_070_039	Fusion Light Wooden Long Bow (ธาตุพิษ)
IN_070_040	Fusion Light Wooden Long Bow (ธาตุไฟรุนแรง)
IN_070_041	Fusion Light Wooden Long Bow (ธาตุไฟฟ้ารุนแรง)
IN_070_042	Fusion Light Wooden Long Bow (ธาตุน้ำแข็งรุนแรง)
IN_070_043	Fusion Light Wooden Long Bow (ธาตุพิษรุนแรง)
IN_070_044	The Light Iron Long Bow (มีการเปลี่ยนแปลง)
IN_070_045	Light Iron Long Bow (ธาตุไฟ)
IN_070_046	Light Iron Long Bow (ธาตุไฟฟ้า)
IN_070_047	Light Iron Long Bow (ธาตุน้ำแข็ง)
IN_070_048	Light Iron Long Bow (ธาตุพิษ)
IN_070_049	Light Iron Long Bow (ธาตุไฟรุนแรง)
IN_070_050	Light Iron Long Bow (ธาตุไฟฟ้ารุนแรง)
IN_070_051	Light Iron Long Bow (ธาตุน้ำแข็งรุนแรง)
IN_070_052	Light Iron Long Bow (ธาตุพิษรุนแรง)
IN_070_053	คันธนูเหล็กเวทย์รุนแรง (updated)
IN_070_054	คันธนูเหล็กเวทย์รุนแรง (ไฟ)
IN_070_055	คันธนูเหล็กเวทย์รุนแรง (ไฟฟ้า)
IN_070_056	คันธนูเหล็กเวทย์รุนแรง (น้ำแข็ง)
IN_070_057	คันธนูเหล็กเวทย์รุนแรง (พิษ)
IN_070_058	คันธนูเหล็กเวทย์รุนแรง (ไฟรุนแรง)
IN_070_059	คันธนูเหล็กเวทย์รุนแรง (ไฟฟ้ารุนแรง)
IN_070_060	คันธนูเหล็กเวทย์รุนแรง (น้ำแข็งรุนแรง)
IN_070_061	คันธนูเหล็กเวทย์รุนแรง (พิษรุนแรง)
IN_070_062	คันธนูสงครามเวทย์ (updated)
IN_070_063	คันธนูสงครามเวทย์ (ไฟ)
IN_070_064	คันธนูสงครามเวทย์ (ไฟฟ้า)
IN_070_065	คันธนูสงครามเวทย์ (น้ำแข็ง)
IN_070_066	คันธนูสงครามเวทย์ (พิษ)
IN_070_067	คันธนูสงครามเวทย์ (ไฟรุนแรง)
IN_070_068	คันธนูสงครามเวทย์ (ไฟฟ้ารุนแรง)
IN_070_069	คันธนูสงครามเวทย์ (น้ำแข็งรุนแรง)
IN_070_070	คันธนูสงครามเวทย์ (พิษรุนแรง)
IN_070_071	คันธนูวิญญาณเวทย์ (updated)
IN_070_072	คันธนูวิญญาณเวทย์ (ไฟ)
IN_070_073	คันธนูวิญญาณเวทย์ (ไฟฟ้า)
IN_070_074	คันธนูวิญญาณเวทย์ (น้ำแข็ง)
IN_070_075	คันธนูวิญญาณเวทย์ (พิษ)
IN_070_076	คันธนูวิญญาณเวทย์ (ไฟรุนแรง)
IN_070_077	คันธนูวิญญาณเวทย์ (ไฟฟ้ารุนแรง)
IN_070_078	คันธนูวิญญาณเวทย์ (น้ำแข็งรุนแรง)
IN_070_079	คันธนูวิญญาณเวทย์ (พิษรุนแรง)
IN_070_080	คันธนูวิญญาณเวทย์รุนแรง (updated)
IN_070_081	คันธนูวิญญาณเวทย์รุนแรง (ไฟ)
IN_070_082	คันธนูวิญญาณเวทย์รุนแรง (ไฟฟ้า)
IN_070_083	คันธนูวิญญาณเวทย์รุนแรง (น้ำแข็ง)
IN_070_084	คันธนูวิญญาณเวทย์รุนแรง (พิษ)
IN_070_085	คันธนูวิญญาณเวทย์รุนแรง (ไฟรุนแรง)
IN_070_086	คันธนูวิญญาณเวทย์รุนแรง (ไฟฟ้ารุนแรง)
IN_070_087	คันธนูวิญญาณเวทย์รุนแรง (น้ำแข็งรุนแรง)
IN_070_088	คันธนูวิญญาณเวทย์รุนแรง (พิษรุนแรง)
IN_070_089	คันธนูวิญญาณเทพเวทย์ (updated)
IN_070_090	คันธนูวิญญาณเทพเวทย์ (ไฟ)
IN_070_091	คันธนูวิญญาณเทพเวทย์ (ไฟฟ้า)
IN_070_092	คันธนูวิญญาณเทพเวทย์ (น้ำแข็ง)
IN_070_093	คันธนูวิญญาณเทพเวทย์ (พิษ)
IN_070_094	คันธนูวิญญาณเทพเวทย์ (ไฟรุนแรง)
IN_070_095	คันธนูวิญญาณเทพเวทย์ (ไฟฟ้ารุนแรง)
IN_070_096	คันธนูวิญญาณเทพเวทย์ (น้ำแข็งรุนแรง)
IN_070_097	คันธนูวิญญาณเทพเวทย์ (พิษรุนแรง)
IN_070_098	temp
IN_070_099	คันธนูวิญญาณเวทย์(ธาตุหิน)
IN_070_100	คันธนูวิญญาณเวทย์(ธาตุหินรุนแรง)
IN_070_101	คันธนูวิญญาณเวทย์รุนแรง(ธาตุหิน)
IN_070_102	คันธนูวิญญาณเวทย์รุนแรง(ธาตุหินรุนแรง)
IN_070_103	คันธนูวิญญาณเทพเวทย์(ธาตุหิน)
IN_070_104	คันธนูวิญญาณเทพเวทย์(ธาตุหินรุนแรง)
IN_071_000	คัมภีร์สายหมัด
IN_071_001	Skill Book Armor Damage
IN_071_002	Skill Book Heavy Punch
IN_071_003	Skill Book Tokkan Punch
IN_071_004	Skill Book Mirage Punch
IN_071_005	Skill Book Kick Punch
IN_071_006	Skill Book Critical Punch
IN_071_007	Skill Book Side Kick
IN_071_008	Skill Book Spinning Kick
IN_071_009	Skill Book Chain Kick
IN_071_010	Skill Book Sonic Slash
IN_071_011	Skill Book Metal Head
IN_071_012	Skill Book Stimulation
IN_071_013	Skill Book Elbow Crush
IN_071_014	Skill Book Double Attack
IN_071_015	Skill Book Wall Of Metal
IN_071_016	Skill Book Shintendouchi
IN_071_017	Skill Book Flash
IN_071_018	Skill Book Agility Boost
IN_071_019	Skill Book Tornado Kick
IN_071_020	Skill Book Force Pin
IN_071_021	Skill Book Ambush
IN_071_022	Skill Book Concentration
IN_071_023	Skill Book Power Kick
IN_071_024	Skill Book Revive
IN_071_025	Skill Book Attack Boost
IN_071_026	Skill Book Team Frenzy
IN_071_027	Skill Book Evasion
IN_071_028	Skill Book Elevate Kick
IN_071_029	Skill Book Earthquake Strike
IN_071_030	Skill Book Force Punch
IN_071_031	Skill Book Deadly Seven
IN_071_032	Skill Book Makaze Kick
IN_071_033	Skill Book Ankle Crush
IN_071_034	Skill Book Explosive Punch
IN_071_035	Skill Book Force Roar
IN_071_036	Skill Book Light speed
IN_071_037	Skill Book Knock Out Punch
IN_071_038	Skill Book Fist Mastery
IN_071_039	Skill Book Evasive Dance
IN_071_040	Skill Book Dance Of The Warrior
IN_071_041	Skill Book Upper Jab
IN_071_042	Skill Book Force Push
IN_071_043	Skill Book Tornado Kick 2
IN_071_044	Skill Book Dragon Punch
IN_071_045	Skill Book ฟื้นจิต
IN_071_046	Skill Book 71 46
IN_071_047	Skill Book พลังมหาศาล ขั้น1
IN_071_048	Skill Book พลังมหาศาล ขั้น 2
IN_071_049	Skill Book หมัดเสยคาง
IN_071_050	Skill Book เตะหัวโยก
IN_071_051	Skill Book พลังแม่เหล็กไฟฟ้า
IN_071_052	Skill Book ลูกเตะซัมเมอร์ซอลท์
IN_071_053	Skill Book ลูกไฟโลกันต์
IN_071_054	Skill Book ฝ่ามือนกคลั่ง
IN_071_055	Skill Book ฝ่ามือพายุหมุนมังกร
IN_071_056	Skill Book ฝ่ามือปีศาจ
IN_071_057	Skill Book ไร้เงา
IN_071_058	Skill Book พลังมหาศาล ระดับ 3
IN_071_059	Skill Book กงเล็บเสือไฟ I
IN_071_060	Skill Book กงเล็บเสือไฟ II
IN_071_061	Skill Book กงเล็บเสือไฟ III
IN_071_062	Skill Book กงเล็บเสือไฟ IV
IN_071_063	Skill Book กงเล็บเสือไฟ V
IN_071_064	Skill Book กงเล็บเสือไฟ VI
IN_071_065	Skill Book หมัดสั่นสะเทือน
IN_071_066	Skill Book ลูกเตะพิฆาตมังกร
IN_071_067	Skill Book พิฆาตรัก
IN_071_068	Skill Book พลังมหาศาล ขั้น 4
IN_071_069	Skill Book พลังมหาศาล ขั้น 5
IN_071_070	Skill Book มังกรผงาดฟ้า
IN_071_071	Skill Book มังกรฟาดหาง
IN_071_072	Skill Book หมัดคลื่นพลังเวทย์
IN_071_073	Skill Book หมัดหมื่นรัว
IN_071_074	Skiil Book ท่าเตะอัมพาต
IN_071_075	Skill Book พลังลมระเบิด
IN_071_076	Skill Book หมัดมังกรดุ
IN_071_077	Skill Book ท่าเตะมังกรลม
IN_071_078	Skill Book หมัดคลื่นระเบิด
IN_071_079	Skill Book พลังหมัดน้ำแข็ง
IN_071_080	Skill Book ปีศาจอาซูร่า
IN_071_081	Skill Book ราชาพิโรธ
IN_071_082	Skill Book God Punch
IN_071_083	Skill Book Shadow Punch
IN_071_084	Skill Book Supersonic Kick
IN_071_085	Skill Book Twister Kick
IN_071_086	Skill Book Thousand Punches
IN_071_087	Skill Book Fire Blowing
IN_072_000	คัมภีร์สายดาบ
IN_072_001	Skill Book Spinning Attack
IN_072_002	Skill Book Chain Attack
IN_072_003	Skill Book Divine Shield
IN_072_004	Skill Book Kick Slash
IN_072_005	Skill Book X Strike
IN_072_006	Skill Book Double Slash
IN_072_007	Skill Book Jumping Slash
IN_072_008	Skill Book Critical Slash
IN_072_009	Skill Book Lightning Strke
IN_072_010	Skill Book Aikido
IN_072_011	Skill Book Kamikaze
IN_072_012	Skill Book Ronin Slash 2
IN_072_013	Skill Book Sword Mastery
IN_072_014	Skill Book Tranquility
IN_072_015	Skill Book Explosive Attack
IN_072_016	Skill Book Sunken Strike
IN_072_017	Skill Book Metal Body
IN_072_018	Skill Book Spinning Slash
IN_072_019	Skill Book Revive
IN_072_020	Skill Book Blood Thirst
IN_072_021	Skill Book Wind Strike
IN_072_022	Skill Book Thunder Strike
IN_072_023	Skill Book Explosive Strike
IN_072_024	Skill Book Air Slash
IN_072_025	Skill Book Fury
IN_072_026	Skill Book Summon Lightning
IN_072_027	Skill Book Katana Mastery
IN_072_028	Skill Book Lightspeed
IN_072_029	Skill Book Profanes Suddenly
IN_072_030	Skill Book Melee Mastery
IN_072_031	Skill Book Melee Mastery
IN_072_032	Skill Book Inferno Attack
IN_072_033	Skill Book Tornado Slash
IN_072_034	Skill Book Ronin Slash 1
IN_072_035	Skill Book Shockwave Burst
IN_072_036	Skill Book Windmill Kill
IN_072_037	Skill Book เงาแสง
IN_072_038	Skill Book 72 38
IN_072_039	Skill Book พลังมหาศาล ขั้น1
IN_072_040	Skill Book พลังมหาศาล ขั้น 2
IN_072_041	Skill Book เต็มเหนี่ยว
IN_072_042	Skill Book ดาบทะลวงไส้
IN_072_043	Skill Book ดาบเวหา
IN_072_044	Skill Book พายุโซนิค
IN_072_045	Skill Book น้ำลดตอผุด
IN_072_046	Skill Book ดาบผ่าโลกันต์
IN_072_047	Skill Book ดาบคลื่นโซนิค
IN_072_048	Skill Book ดาบทำลาย
IN_072_049	Skill Book ดาบสายลม
IN_072_050	Skill Book ดาบฝ่าพายุ
IN_072_051	Skill Book จับวาง
IN_072_052	Skill Book พลังมหาศาล ระดับ 3
IN_072_053	Skill Book หมัดยมบาล I
IN_072_054	Skill Book หมัดยมบาล II
IN_072_055	Skill Book หมัดยมบาล III
IN_072_056	Skill Book หมัดยมบาล IV
IN_072_057	Skill Book หมัดยมบาล V
IN_072_058	Skill Book หมัดยมบาล VI
IN_072_059	Skill Book เสน่ห์วิญญาณ
IN_072_060	Skill Book ดาบ Red Thunder
IN_072_061	Skill Book ดาบพายุมังกรฟ้า
IN_072_062	Skill Book พลังมหาศาล ขั้น 4
IN_072_063	Skill Book พลังมหาศาล ขั้น 5
IN_072_064	Skill Book ดาบเงา
IN_072_065	Skill Book ดาบแห่งแสง
IN_072_066	Skill Book ดาบพลังแห่งไฟ
IN_072_067	Skill Book เงาเพชรฆาต
IN_072_068	Skill Book ดาบแสงจันทร์
IN_072_069	Skill Book ดาบผ่าปฐพี
IN_072_070	Skill Book ดาบร่ายผี
IN_072_071	Skill Book ดาบประกายแสง
IN_072_072	Skill Book ดาบพิฆาตแสง
IN_072_073	Skill Book ดาบพายุใต้ฝุ่น
IN_072_074	Skill Book อวตารความมืด
IN_072_075	Skill Book ละอองปีศาจ
IN_072_076	Skill Book Ice Spark
IN_072_077	Skill Book Flying Energy Sword
IN_072_078	Skill Book Whirlwind Sword
IN_072_079	Skill Book Thunderbolt slash
IN_072_080	Skill Book Dragon Sword
IN_072_081	Skill Book Wild Slash
IN_073_000	คัมภีร์สายธนู
IN_073_001	Skill Book Lightning Shot
IN_073_002	Skill Book Enhanced Force Shot
IN_073_003	Skill Book Distinguish
IN_073_004	Skill Book Soul Arrow
IN_073_005	Skill Book Evasion Increment 
IN_073_006	Skill Book Wraft Of Devil
IN_073_007	Skill Book Arrow Storm
IN_073_008	Skill Book Pin Shot
IN_073_009	Skill Book Summon Earth Element
IN_073_010	Skill Book เพิ่มกำลังเสริม
IN_073_011	Skill Book ตรวจจับ
IN_073_012	Skill Book Split Fire
IN_073_013	Skill Book Bow Attack
IN_073_014	Skill Book Powerful Hit
IN_073_015	Skill Book Force Shot
IN_073_016	Skill Book Tripple Shot
IN_073_017	Skill Book Star Fall
IN_073_018	Skill Book Slow
IN_073_019	Skill Book Kick Shot
IN_073_020	Skill Book Severe Hit
IN_073_021	Skill Book Evassive Chant
IN_073_022	Skill Book Blood Arrow
IN_073_023	Skill Book Tiger Strike
IN_073_024	Skill Book Eagle Sight
IN_073_025	Skill Book Vampiric Arrow
IN_073_026	Skill Book Conducted Shot
IN_073_027	Skill Book Force Of Illusion
IN_073_028	Skill Book Force Of Gaia
IN_073_029	Skill Book Lightspeed
IN_073_030	Skill Book Bow Mastery
IN_073_031	Skill Book Concentration
IN_073_032	Skill Book สัญชาตยาน
IN_073_033	Skill Book Range Mastery
IN_073_034	Skill Book Cripple Shot
IN_073_035	Skill Book Spirit Dance
IN_073_036	Skill Book Pheonix Strike
IN_073_037	Skill Book Kiss Of Death
IN_073_038	Skill Book Angels Eye
IN_073_039	Skill Book Deathly Rain
IN_073_040	Skill Book Lightning Strike
IN_073_041	Skill Book Dazzling Lights
IN_073_042	Skill Book Killing hit
IN_073_043	Skill Book หลบหลีกทันที
IN_073_044	Skill Book พลังมหาศาล ขั้น1
IN_073_045	Skill Book พลังมหาศาล ขั้น 2
IN_073_046	Skill Book ใจสั่งมา
IN_073_047	Skill Book ธนูพิฆาต
IN_073_048	Skill Book เร็วเหนือเสียง
IN_073_049	Skill Book ธนูเวหา
IN_073_050	Skill Book ซุ่มยิง
IN_073_051	Skill Book คลื่นพลัง
IN_073_052	Skill Book ธนูโลกันต์
IN_073_053	Skill Book Squall
IN_073_054	Skill Book ธนูกระสุน
IN_073_055	Skill Book ปืนมังกรเขียว
IN_073_056	Skill Book วิญญาณปฐพี
IN_073_057	Skill Book เงาปีศาจ
IN_073_058	Skill Book พลังมหาศาล ระดับ 3
IN_073_059	Skill Book รักษาตัว
IN_073_060	Skill Book ทำลายล้าง I
IN_073_061	Skill Book ทำลายล้าง II
IN_073_062	Skill Book ทำลายล้าง III
IN_073_063	Skill Book ทำลายล้าง IV
IN_073_064	Skill Book ทำลายล้าง V
IN_073_065	Skill Book เทพแห่งไฟพิโรธ
IN_073_066	Skill Book ลม 5 วิญญาณ
IN_073_067	Skill Book ตาแห่ง Medusa
IN_073_068	Skill Book พลังมหาศาล ขั้น 4
IN_073_069	Skill Book พลังมหาศาล ขั้น 5
IN_073_070	Skill Book ท่าลอยยิง
IN_073_071	Skill Book ธนูแสงม่วง
IN_073_072	Skill Book ลูกธนูไฟ
IN_073_073	Skill Book ธนูเงาพายุหมุน
